country	consumption 2000	electricity 2000	Mortality 2000	consumption 2001	electricity 2001	Mortality 2001	consumption 2002	electricity 2002	Mortality 2002	consumption 2003	electricity 2003	Mortality 2003	consumption 2004	electricity 2004	Mortality 2004	consumption 2005	electricity 2005	Mortality 2005	consumption 2006	electricity 2006	Mortality 2006	consumption 2007	electricity 2007	Mortality 2007	consumption 2008	electricity 2008	Mortality 2008	consumption 2009	electricity 2009	Mortality 2009	consumption 2010	electricity 2010	Mortality 2010																							
Kenya	0.14224	112.7866425	113.1	0.14413	122.6455041	109.2	0.14934	121.8724664	105.5	0.16118	127.4947973	101.9	0.16875	134.8330433	98.3	0.18298	136.994471	94.1	0.20102	145.1795941	90.2	0.2022	148.9119212	86.5	0.18836	148.6396533	82.5	0.19759	147.3055675	79.4	0.21986	156.025217	76.1																							
Kuwait	0.90963	14822.34517	12.7	0.88264	15190.17829	12.5	0.88761	15635.20622	12.4	0.96046	16656.11867	12.2	1.00698	16770.15371	12	1.14679	17123.12733	11.8	1.13313	17933.68407	11.7	1.12475	17485.77713	11.5	1.16169	17750.69447	11.3	1.21498	17609.96355	11.2	1.28347	18319.66009	11																							
Latvia	0.15412	2077.552113	14.928	0.16092	2196.592712	15.888	0.154	2279.117977	15.072	0.16071	2453.832598	14.94	0.17574	2551.431824	13.236	0.18543	2702.876577	11.688	0.18448	2876.376561	11.016	0.17261	3063.573657	12.348	0.16337	3087.250573	9.612	0.16488	2874.712728	10.548	0.16082	3025.89361	8.9																							
Lebanon	0.23433	2610.406514	19	0.22499	2633.251492	17.8	0.22859	2772.131036	16.6	0.23803	2818.504043	15.6	0.22844	2784.613068	14.6	0.21854	2788.704034	13.7	0.19424	2686.300308	12.8	0.17922	2772.032605	12	0.18233	2937.184944	11.2	0.28324	3130.100381	10.6	0.27604	3568.93053	9.9																							
Libya	0.62988	2275.58209	27.1	0.66709	2302.998268	25.9	0.69699	2420.002013	24.7	0.68428	2453.139849	23.6	0.75794	2556.07976	22.4	0.77201	3412.997085	21.5	0.73147	3779.095711	20.5	0.75824	3965.264792	19.5	0.73771	4001.22284	18.7	0.77865	4170.108358	17.7	0.83996	4269.790997	17																							
Lithuania	0.2973	2516.905098	12.177	0.31679	2687.795221	11.33	0.34054	2827.558971	10.956	0.35264	3052.800862	9.625	0.35316	3142.399663	10.659	0.35257	3101.364143	9.713	0.35277	3230.623185	9.537	0.38586	3411.819702	8.008	0.37472	3555.86393	7.26	0.32429	3430.79831	6.809	0.26217	3270.638489	5.918																							
Luxembourg	0.15384	15668.11827	5.96	0.16143	15618.59464	7.56	0.16988	15978.03552	6.41	0.17893	16258.88449	5.26	0.19745	16300.11242	4.6	0.20597	15641.99691	3.39	0.20346	16454.48833	3.27	0.1993	16350.23844	3.29	0.19594	15935.74133	3.05	0.18552	14423.95582	3.57	0.19874	16833.90768	3.3																							
Macedonia, FYR	0.11505	2932.669551	16.3	0.10637	2838.188063	15.6	0.1066	2791.932768	14.9	0.1156	3148.209973	14.3	0.11805	3180.460385	13.8	0.11917	3411.005005	13.3	0.11709	3485.405202	12.7	0.11407	3652.482858	12	0.11367	3702.758165	11.4	0.1128	3441.806056	10.8	0.12055	3590.766213	10.2																							
Malaysia	1.97785	2721.172224	10.6	2.10768	2728.939465	10.1	2.19218	2785.237625	9.7	2.26849	2872.644511	9.3	2.26098	2937.736194	8.9	2.28943	2828.632885	8.5	2.36515	3021.256786	8.1	2.59795	3232.876453	7.8	2.67668	3254.307831	7.4	2.78314	3911.855695	7.1	2.98849	4117.352558	6.8																							
Malta	0.03919	4410.496037	7.8	0.0329	4292.315051	7.5	0.03939	4500.3523	7.3	0.03925	4872.272205	7.2	0.03973	4797.292583	7	0.04122	4912.873263	6.8	0.03904	4884.254247	6.6	0.04138	4845.373426	6.4	0.04255	4806.408545	6.3	0.08783	4417.970439	6.2	0.10438	4151.492205	6.1																							
Mexico	6.33194	1766.393729	29.1	6.29111	1794.748053	27.5	6.28657	1804.058343	25.9	6.41137	1768.753186	24.5	6.42585	1870.997773	23.2	6.73068	1927.063862	21.9	7.29561	1939.328583	20.8	7.5267	1973.681687	19.6	7.26255	1982.813298	18.6	6.94764	1942.840798	17.6	7.28397	1990.459664	16.6																							
Moldova	0.11014	1004.784058	23.8	0.10728	1123.239689	22.9	0.11896	1184.358301	22	0.1305	1365.396863	21.1	0.12268	1435.653372	20.5	0.1293	1534.275594	19.6	0.13827	1615.665231	19.1	0.12851	1342.781355	18.5	0.13351	1328.251506	17.7	0.11866	996.745852	16.8	0.1186	1049.111442	16.6																							
Mongolia	0.06313	1069.931645	63.4	0.06517	1089.334015	59.4	0.06955	1116.780873	55.6	0.06646	1160.883108	52.2	0.07102	1222.130221	48.8	0.07177	1278.196581	45.7	0.08214	1326.551975	42.8	0.08515	1367.493882	40.1	0.09026	1458.683384	37.6	0.09005	1410.575592	34.9	0.09273	1530.115555	33																							
Morocco	0.44701	490.0456482	52.7	0.4813	524.8684447	50.5	0.48821	536.0235277	48.5	0.49124	581.8883481	46.5	0.4923	612.9548179	44.5	0.49773	635.7824189	42.6	0.51652	690.4743014	40.7	0.52846	720.8041198	39.1	0.59814	742.2069468	37.4	0.64331	754.397316	35.7	0.67296	781.0922409	34.3																							
Mozambique	0.10073	122.2483409	172.1	0.13093	270.3908485	165.8	0.13324	259.7392992	158.9	0.13221	367.0704678	152.1	0.14246	441.463662	145.6	0.15798	445.0165727	139.3	0.17698	454.4653522	133.2	0.18214	473.1028274	125.9	0.16984	462.4119572	119.3	0.18321	453.35221	113.3	0.18078	443.7221271	108.4																							
Myanmar	0.1675	78.20691735	83.5	0.16576	71.24276124	81.7	0.18845	76.38794305	79.5	0.2121	83.95923756	77.1	0.21775	84.87039184	75.4	0.28673	79.0999155	73.4	0.26736	93.44435195	71.6	0.28979	94.61626019	70	0.28615	99.49140022	68.3	0.24095	104.8919302	66.3	0.24075	131.1427231	64.5																							
Namibia	0.0415	1179.425046	73.5	0.04742	1214.625705	74.5	0.0503	1055.027648	75	0.05393	1091.945495	74.8	0.0569	1356.603089	73.7	0.05861	1415.89874	69	0.0626	1492.929706	63.1	0.06488	1490.97909	58.6	0.0726	1739.6663	54.3	0.06967	1576.216349	50.1	0.06538	1478.568854	45.9																							
Netherlands	3.79343	6559.537517	6.22	3.92944	6652.67372	6.25	3.93986	6693.756595	5.99	4.02199	6751.122414	5.6	4.13271	7017.230734	5.15	4.23416	6987.740342	5.76	4.14183	7054.83222	5.15	4.35459	7209.937237	4.66	4.14045	7226.069622	4.54	4.07681	6895.663913	4.5	4.2662	7009.523819	4.2																							
New Zealand	0.82614	9384.348187	7.59	0.83579	9417.085427	6.5	0.85376	9526.908953	6.73	0.84516	9407.280493	6.25	0.87666	9666.299694	6.68	0.84479	9673.673771	6.15	0.86117	9700.568752	6.05	0.86163	9630.584396	6.44	0.85232	9535.946028	5.83	0.84236	9375.318597	6.1	0.85742	9565.91419	6																							
Nicaragua	0.05537	344.5214778	42.3	0.0591	343.3919864	40.4	0.06114	352.3174789	38.7	0.06242	367.6059718	36.9	0.06628	393.2030025	35.3	0.07106	413.5068329	33.7	0.07053	426.3199216	32.3	0.07157	460.6684744	30.9	0.07145	474.4855762	29.5	0.07015	478.9649454	28.2	0.07232	473.2071298	27																							
Nigeria	0.80941	73.64465855	187.9	0.91104	74.78805723	181.3	0.93475	103.6643791	174.6	0.97853	101.0317374	168.3	0.98351	122.6544643	162	1.08137	128.4406452	156	1.02946	111.128212	150.3	0.98637	138.3313759	144.6	1.0381	126.910081	139.1	0.67651	120.5076855	133.9	0.72951	136.4951753	129.2																							
Norway	1.98845	24993.7263	4.78	1.89297	25590.68943	4.67	1.94002	24620.33613	4.57	1.82	23201.39413	4.37	1.92523	24214.10698	4.01	2.0028	25083.21453	3.84	1.84424	24099.93226	3.83	1.97706	24855.00046	3.68	1.94232	24866.13431	3.32	1.89931	23859.70958	3.64	1.86836	25175.22108	3.2																							
Oman	0.34089	3207.366254	21.7	0.34692	3459.591229	20.1	0.36024	3570.755499	18.5	0.3566	3625.907387	17	0.38096	3937.62698	15.6	0.48045	4239.949619	14.4	0.55125	4449.494503	13.3	0.58188	4614.266744	12.2	0.68767	5110.424378	11.2	0.75002	5598.897697	10.3	0.86701	5932.573447	9.4																							
Pakistan	1.84612	356.893286	95.3	1.79929	362.9151503	93	1.81339	370.081914	90.6	1.91194	395.2660409	88.6	1.96634	414.6668333	86.2	2.13909	447.9611245	83.9	2.38416	472.6235465	82	2.48149	468.7750957	80	2.47811	432.6207784	78.1	2.50371	449.3227627	75.7	2.55969	456.6360689	73.7																							
Panama	0.20637	1298.320843	25.7	0.20344	1305.501662	25.1	0.20284	1335.56068	24.5	0.19682	1398.467157	23.9	0.2272	1463.244928	23.3	0.22021	1496.45449	22.7	0.2299	1502.76985	22.2	0.23553	1605.647582	21.7	0.23881	1660.655097	21.1	0.25028	1749.616757	20.6	0.27683	1832.337168	20																							
Paraguay	0.42971	880.6897451	35.3	0.37938	866.3491825	33.8	0.39444	875.8768877	32.3	0.4241	829.4933149	30.8	0.41508	816.3355588	29.9	0.40976	848.788772	28.6	0.42508	901.5415745	27.5	0.4253	959.4242474	26.2	0.4405	1003.171305	25.4	0.43597	1055.994016	24.3	0.43752	1133.92913	23.4																							
Peru	0.52873	681.5821289	38.9	0.53776	706.9470145	36.3	0.54613	741.4429872	33.8	0.55734	765.5943739	31.6	0.58274	803.7579281	29.5	0.61903	838.8618519	27.5	0.67681	890.2840544	25.7	0.68496	972.4818628	23.9	0.76281	1045.977109	22.3	0.74815	1049.185817	20.8	0.84796	1105.531503	19.4																							
Philippines	1.13956	503.7513599	38.8	1.12599	523.4891389	37.3	1.14734	527.0591683	35.8	1.18464	560.5512626	34.5	1.21389	580.5565523	33.2	1.2158	581.555557	32	1.20589	572.7747198	30.7	1.17952	586.5928559	29.5	1.20299	589.3218378	28.5	1.14336	593.4587373	27.4	1.21734	642.7352251	26.4																							
Poland	3.62445	3239.657441	9.6	3.45492	3260.033263	9	3.45339	3208.392157	8.6	3.57188	3324.471392	8.2	3.74765	3416.118632	7.9	3.67445	3437.323998	7.5	3.85182	3584.962188	7.2	3.91829	3661.646104	6.9	3.89067	3725.748778	6.6	3.78329	3590.832081	6.3	4.05529	3783.081899	6.1																							
Portugal	1.07048	4013.950546	7.39	1.08598	4147.576425	6.39	1.08306	4292.271433	6.52	1.11732	4383.169358	5.25	1.11244	4525.722317	4.98	1.12608	4662.529442	4.36	1.1019	4799.163746	4.27	1.12765	4860.423431	4.17	1.06227	4821.503363	4	1.0649	4814.680147	4.37	1.12574	4929.14304	3.6																							
Qatar	0.64476	14385.14139	12.6	0.5025	15223.90171	12.1	0.5271	16303.17236	11.5	0.58437	17100.22953	11	0.70528	17223.05655	10.5	0.88637	16293.82231	10	0.95057	16217.33229	9.6	0.99146	15340.45385	9.2	1.01462	14387.63377	8.8	1.08657	14420.76901	8.4	1.10456	14997.21684	8.1																							
Romania	1.58611	1987.66019	26.8	1.71549	2066.783933	25.7	1.68366	2072.867615	24.5	1.63078	2220.677543	23.3	1.68956	2270.890007	21.9	1.6655	2331.012998	20.5	1.67453	2401.649164	18.9	1.66212	2451.956718	17.5	1.64164	2487.633184	16	1.41096	2266.71746	14.8	1.42516	2392.340592	13.6																							
Russia		5208.847392	23.196		5275.335484	22.392		5304.66375	20.616		5479.993304	19.104		5642.373323	17.424		5784.966818	16.476		6122.05614	15.576		6317.241379	14.448		6435.406833	13.14		6132.978648	12.324		6451.874295	11.544																							
Saudi Arabia	4.85276	5839.779906	20.6	5.1387	6097.11755	19.1	5.38353	6145.811746	17.8	5.76125	6536.920158	16.6	6.20771	6330.209138	15.4	6.52548	6553.148365	14.3	6.8456	6759.669857	13.3	6.18472	6855.543971	12.4	7.45005	7126.937472	11.5	7.22524	7427.215493	10.7	7.84894	7967.003601	9.9																							
Senegal	0.06366	105.7242363	130.4	0.06364	128.0889811	124.8	0.06656	151.149424	117.6	0.0685	130.5113364	110.3	0.07829	143.3659103	103.7	0.08372	163.4487709	97	0.0858	162.5848994	90.6	0.08716	187.4565183	84.7	0.08835	163.9076813	78.7	0.08611	196.0044983	73.5	0.08664	195.2753028	69.1																							
Serbia	0.6587	4198.715706	12.7	0.70203	4434.370241	11.9	0.77788	4478.248157	11.1	0.78073	4332.679062	10.5	0.79528	4258.251568	9.8	0.76979	3921.906459	9.2	0.75891	4040.44002	8.8	0.73094	4159.137225	8.4	0.74151	4291.843742	8.1	0.6641	4224.397665	7.7	0.71148	4358.812174	7.4																							
Singapore	1.52664	7575.411505	3.9	1.62081	7516.191397	3.7	1.60212	7756.226054	3.4	1.69219	8113.638573	3.2	1.90294	8314.253486	3.1	2.03676	8507.196774	3	2.08333	8520.016358	2.9	2.26036	8513.707885	2.8	2.53059	8184.898954	2.8	2.89374	7789.918999	2.7	3.37195	8306.774086	2.6																							
Slovak Republic	0.78498	4955.907896	11.988	0.82957	5027.452807	9.228	0.84408	5049.584909	10.776	0.82019	5015.979792	11.544	0.80533	5088.214671	10.452	0.83036	4919.806029	10.296	0.81948	5135.577731	9.408	0.79151	5250.200192	9.012	0.80208	5267.610521	8.592	0.72467	4924.712887	8.676	0.77205	5164.362565	8																							
Slovenia	0.29282	5777.995651	5.4	0.29895	6006.34519	5.2	0.30204	6380.951903	5	0.30098	6578.034236	4.8	0.31417	6830.705073	4.5	0.3193	6917.860467	4.3	0.31761	7123.537771	4	0.31862	7137.824175	3.8	0.33989	6920.244039	3.5	0.30802	6103.441294	3.3	0.30953	6521.092872	3																							
South Africa	4.58373	4680.681818	74.1	4.64708	4365.48973	76.3	4.53578	4590.245748	78.3	4.87605	4619.366771	79.3	5.21505	4651.560382	79.1	5.12043	4703.944952	78.2	5.28755	4796.971759	75.8	5.41603	5108.410374	71.1	5.72952	4934.394103	66.6	5.62826	4665.861722	61.3	5.59303	4802.535641	52.6																							
Spain	5.54154	5206.91144	5.46	5.78945	5439.817464	5.03	5.83067	5592.417849	5.14	6.13748	5700.886205	5.08	6.34354	5924.080446	4.89	6.44556	6147.129383	4.66	6.4938	6396.118853	4.41	6.76091	6334.841427	4.36	6.52779	6392.589681	4.19	6.10063	5997.047089	4.06	6.23946	6154.830121	4.5																							
Sri Lanka	0.18938	289.8125851	19.1	0.18644	292.599883	18.4	0.18871	305.3749802	17.7	0.20061	327.1266886	17	0.19925	353.4859789	16.3	0.2195	398.0859295	15.7	0.21647	399.7884983	15.1	0.22235	416.1884326	14.4	0.22215	383.7364594	13.8	0.22402	412.7628362	13.3	0.22781	449.1841379	12.6																							
Sudan	0.10796	63.47306661	103.7	0.13557	53.36802217	102.3	0.13991	62.62544983	100.3	0.1539	66.36932735	98.5	0.1649	67.03348077	96.9	0.17682	79.19746568	95.1	0.19666	88.29343373	93.9	0.19178	95.45833562	92.4	0.2123	103.8991745	91	0.29356	133.1738512	89	0.30792	140.6825932	87.7																							
Sweden	2.27081	15681.61527	3.87	2.40492	16020.98031	4.36	2.27707	15709.42967	4.04	2.16972	15360.17889	3.85	2.30924	15420.97314	3.6	2.33275	15430.96395	3.24	2.21398	15262.58727	3.51	2.28591	15257.93575	3.14	2.22166	14869.34898	3.04	2.05075	14143.01101	3.23	2.22204	14939.232	3.08																							
Switzerland	1.29678	7845.495354	5.75	1.35071	8033.357243	5.88	1.28496	8000.957617	5.36	1.30302	8195.120835	4.98	1.31289	8205.693794	5.18	1.26341	8305.371102	4.88	1.28603	8360.442516	5.08	1.3027	8163.428007	4.62	1.31995	8305.792283	4.52	1.2873	8021.094469	4.86	1.26518	8173.364359	4.5																							
Syria	0.78206	1093.033295	22.8	0.76222	1165.85149	22	0.8197	1242.415957	21.2	0.82694	1288.671583	20.4	0.84518	1383.797885	19.7	0.80437	1487.925691	19	0.80649	1554.058364	18.3	0.80705	1590.974443	17.7	0.81778	1640.460712	17.1	0.9479	1603.594191	16.4	1.03228	1905.303711	15.9																							
Tajikistan	0.23909	2176.805463	94.7	0.24705	2172.773521	91.6	0.25201	2188.580658	87.9	0.27054	2207.765401	85	0.27419	2251.874476	82	0.28425	2261.49965	78.9	0.28025	2268.173203	76.1	0.27243	2216.998116	73.4	0.25661	2116.891253	71	0.18682	1984.111189	68.2	0.19051	2004.466873	66.1																							
Tanzania	0.0582	58.17000513	126.4	0.06861	60.28569462	120.4	0.07525	62.70844558	114.7	0.07626	55.20779837	109.1	0.08168	63.67278266	103.6	0.0904	69.60928973	98.1	0.09356	69.48269632	92.7	0.10957	82.1073539	87.2	0.11714	84.31977095	82	0.12382	75.03778656	77.2	0.12017	77.8524655	72.5																							
Thailand	2.57173	1443.432161	18.5	2.69236	1496.28603	17.9	2.93221	1603.207008	17	3.20772	1692.114598	16.6	3.44176	1797.779465	15.9	3.65174	1877.988739	15.7	3.70545	1961.624483	15	3.83697	2030.711018	14.2	3.95005	2051.869645	13.7	4.05101	2044.825059	13.4	4.32479	2243.402608	12.8																							
Trinidad and Tobago	0.42055	3916.232863	32.1	0.47354	4021.70611	31.6	0.49998	4007.449431	31.2	0.53889	4689.659397	30.9	0.59	4625.284788	30.4	0.67327	5069.994663	29.9	0.82112	4927.22759	29.6	0.82411	5668.823057	29.1	0.89599	5645.961053	28.7	0.85012	5661.694662	28.3	0.93624	5894.302125	28																							
Tunisia	0.30098	991.2688869	29.6	0.33625	1048.213695	27.9	0.33847	1075.864607	26.5	0.33078	1004.187077	25.1	0.33365	1043.95715	23.7	0.35827	1091.933393	22.4	0.33345	1115.729816	21.3	0.29423	1160.086454	20.3	0.3135	1198.772377	19.2	0.30028	1284.627764	18.1	0.30913	1349.972983	17.2																							
Turkey	3.16279	1642.6766	35.3	2.89384	1604.185265	32.8	3.14597	1659.699999	30.3	3.31735	1765.149244	28.2	3.51199	1885.509811	26	3.73432	2006.803732	24	4.07083	2169.393639	22.3	4.4552	2333.855873	20.6	4.29029	2405.457243	19.1	4.29655	2297.796855	17.7	4.48981	2477.06173	16.3																							
Turkmenistan	0.40112	1697.686885	71.4	0.50227	1787.669191	69.3	0.58452	1780.181401	67.7	0.75923	1749.172532	65.5	0.80707	1916.423006	63.8	0.83243	2054.618954	62.2	0.84142	2119.184555	60.2	0.89993	2259.591429	58.7	0.93194	2324.741643	57.3	0.88651	2366.822554	55.4	0.92312	2403.413728	54																							
Ukraine	5.75077	2778.43711	18.6	5.64106	2790.534424	17.6	5.82163	2844.810954	16.8	6.2826	2997.974398	16.1	6.25436	3151.147696	15.2	6.32588	3246.035731	14.4	5.86877	3399.522311	13.5	6.29988	3528.924829	12.7	6.22468	3534.357152	12	4.45821	3227.955434	11.4	5.09354	3549.847724	10.7																							
United Arab Emirates	1.8663	12722.30575	12.3	1.89112	12724.16684	11.7	2.05573	13447.35952	10.9	2.1047	13578.523	10.4	2.21903	13381.74903	9.8	2.31365	13825.79867	9.3	2.53901	13272.91663	8.7	2.82421	13050.31263	8.2	3.29263	11841.38299	7.8	3.37142	11121.35141	7.4	3.53612	11044.38548	7																							
United Kingdom	0.00039	6114.529259	6.32	0.0004	6143.199664	6.28	0.00044	6147.391939	6	0.00044	6182.9802	6.27	0.00048	6151.062742	5.87	0.00053	6289.404044	5.82	0.00057	6226.257365	5.88	0.00065	6152.346557	5.69	0.00068	6060.688391	5.53	0.00067	5700.115612	5.3	0.00067	5736.033049	5.3																							
United States	98.8145	13671.05202	8.39	96.16811	13046.61415	8.22	97.6451	13296.1823	8.2	97.97761	13307.49201	8.21	100.16178	13388.58971	8.11	100.28151	13704.57705	8.19	99.62944	13583.26696	8.1	101.29594	13657.44951	8.14	99.27451	13663.42468	7.91	94.55912	12913.71143	7.54	98.04105	13393.90065	7.5																							
Uruguay	0.16448	2042.80876	17.1	0.16221	2011.572861	16.6	0.16845	2009.353604	16.1	0.16337	1897.056133	15.5	0.14096	1942.011041	14.7	0.15679	2011.662804	14	0.14879	2232.033757	13.2	0.1778	2424.857983	12.6	0.18452	2599.239604	12	0.18958	2673.891115	11.3	0.21154	2763.225946	10.8																							
Uzbekistan	1.95472	1780.457924	61	2.04481	1752.535611	59.4	2.09616	1775.773787	58	2.12792	1758.507805	57.1	2.25405	1759.445415	55.8	2.1614	1711.353995	55.1	2.22683	1749.760271	53.7	2.22658	1658.36683	52.9	2.34739	1647.016595	51.3	1.99839	1637.567795	50.6	1.99535	1648.145814	49.6																							
Venezuela	2.76891	2654.600798	22.3	3.03054	2719.321623	21.5	2.93435	2745.479778	20.7	2.72196	2646.023214	19.9	2.93675	2782.753473	19.2	2.91656	2874.854197	18.5	3.15857	3051.718397	17.9	3.06615	3006.003711	17.3	3.22512	3091.7845	16.7	3.03864	3052.564825	16.1	3.32096	3286.60609	15.6																							
Vietnam	0.73608	295.0371566	33.9	0.81314	335.3429745	32.5	0.90187	387.0317217	31.3	0.97817	443.0683349	30	1.06511	493.6165928	28.8	1.17323	579.9122504	27.7	1.30862	655.3118961	26.6	1.4182	738.4491535	25.6	1.63544	813.1241755	24.5	1.67657	917.3961058	23.5	1.86492	1034.66444	22.6																							
Yemen	0.19367	139.0833454	119.9	0.20573	143.0526035	115.8	0.22587	150.5430782	112	0.24444	160.5585253	108.5	0.2463	169.1790775	104.5	0.25679	178.8495254	99.1	0.28046	188.4153895	93.7	0.25545	204.8116849	87.8	0.31997	222.7025321	81.9	0.28928	218.8337264	75.3	0.30183	248.6226596	67.8																							
Zambia	0.09924	610.102649	153.8	0.10487	633.024955	148.3	0.10799	660.7770293	143.3	0.11254	682.649646	138.5	0.11469	706.9962158	133.3	0.12143	716.6060407	126.8	0.12701	745.7805696	120.3	0.12644	689.1526641	113.4	0.12723	612.1355015	106.4	0.12534	591.3352876	98.8	0.13719	623.1429007	90.4																							
Zimbabwe	0.21215	852.7934461	105.8	0.19942	826.8777413	105.2	0.19982	832.818374	103.6	0.19783	835.6486774	101.3	0.17606	816.4867779	97.7	0.19331	994.6951185	93.8	0.17486	997.7130256	90.4	0.17422	1019.609823	86	0.15068	1023.166366	81.7	0.15486	1026.215184	77.8	0.16368	1022.157023	72.4																							
